Ticker,Value Score,Value Rank,Momentum Score,Momentum Rank
RNI.JO,0.7048387096774192,90,0.42439516129032256,76
S32.JO,0.8024193548387096,108,0.35080645161290314,85
SAC.JO,0.4467741935483871,58,0.5685483870967742,49
SAP.JO,0.5870967741935484,84,0.026209677419354836,124
SBK.JO,0.4185483870967741,48,0.5786290322580645,46
SHC.JO,0.7887096774193548,105,0.375,82
SHP.JO,0.3427419354838709,31,0.435483870967742,75
SLM.JO,0.22177419354838707,13,0.41532258064516125,77
SNT.JO,0.314516129032258,27,0.2600806451612903,103
SOL.JO,0.11370967741935485,2,0.5221774193548387,60
SPG.JO,0.13548387096774192,3,0.07661290322580644,120
SPP.JO,0.3201612903225806,29,0.15120967741935484,116
SRE.JO,0.7620967741935484,99,0.4133064516129032,79
SRI.JO,0.854032258064516,117,0.3467741935483871,86
SSS.JO,0.4564516129032258,60,0.5745967741935485,48
SSU.JO,0.35645161290322575,34,0.38306451612903225,81
SSW.JO,0.5161290322580644,73,0.9737903225806452,3
SUI.JO,0.26693548387096777,21,0.1875,110
TBS.JO,0.4306451612903225,51,0.6925403225806451,30
TFG.JO,0.2895161290322581,23,0.26512096774193544,100
TGA.JO,0.04838709677419354,1,0.21370967741935484,108
TKG.JO,0.20806451612903226,11,0.8104838709677419,16
TRU.JO,0.2943548387096774,24,0.14516129032258063,117
TSG.JO,0.18387096774193548,10,0.1854838709677419,111
VAL.JO,0.717741935483871,94,0.9495967741935483,7
VKE.JO,0.5137096774193548,72,0.6673387096774193,35
VOD.JO,0.4709677419354838,65,0.4758064516129032,69
WBC.JO,0.639516129032258,85,0.6653225806451613,36
WHL.JO,0.4379032258064515,53,0.35685483870967744,83
